DEPOSIT,LATITUDE,LONGITUDE,CMMI_DEPOSIT_ENVIRONMENT,ASSIGNED_AGE_MA,ORE_TONNAGE_MT,CU_PERCENT,MO_PERCENT,AU_GT,AG_GT
Allendale,-32.54985,148.17342,Magmatic hydrothermal,436.5, , , , , 
Anabama Hill,-32.7189,140.2055,Magmatic hydrothermal,502,4,0.6, , , 
Bank,-20.13699,146.75008,Magmatic hydrothermal,395, , , , , 
Barrabas Creek,-20.10957,146.78779,Magmatic hydrothermal,395, , , , , 
Beaks Mountain,-19.98549,147.62138,Magmatic hydrothermal,265, , , , , 
Bodangora,-32.45225,148.99388,Magmatic hydrothermal,436.5, , , , , 
Boddington,-32.73333,116.3667,Magmatic hydrothermal,2707,870.7,0.103, ,0.628, 
Bowen Park,-33.33535,148.84531,Magmatic hydrothermal,436.5, , , , , 
Brazen,-32.93042,148.05468,Magmatic hydrothermal,439.2, , , , , 
Briggs,-23.9901,150.72452,Magmatic hydrothermal, ,982.3,0.19,0.0034, , 
Calgoa,-25.86836,152.22869,Magmatic hydrothermal,242.5, , , , , 
Calliope,-24.05443,151.25447,Magmatic hydrothermal,220, , , , , 
Carangera,-33.35331,149.24953,Magmatic hydrothermal,436.5, , , , , 
Caravel (Bindi and Dasher),-30.96603,116.61413,Magmatic hydrothermal,2700,1180,0.24,0.0048, , 
Cargo,-33.4287,148.8012,Magmatic hydrothermal,447.5,27,0.2, , , 
Chicane,-34.2268,147.39855,Magmatic hydrothermal,436.4, , , , , 
Copperhead (Julivon Creek),-20.53922,148.29926,Magmatic hydrothermal,132,35,0.16,0.01, , 
Cullingarai,-34.21125,147.39406,Magmatic hydrothermal,436.4,8.7, , , , 
Dairy Hill,-33.23448,148.85945,Magmatic hydrothermal,436.5, , , , , 
Dimbulah,-17.2483,145.0806,Magmatic hydrothermal,285,20,0.25, , , 
Dogwood,-37.58761,148.00351,Magmatic hydrothermal,406.25, , , , , 
Endeavour E-28,-32.933,148.048,Magmatic hydrothermal,439.2,8.1,0.35, ,0.04, 
Endeavour E-31N,-32.928,148.063,Magmatic hydrothermal,439.2,6.6,0.35, ,0.39, 
Endeavour E-37,-32.929,147.993,Magmatic hydrothermal,439.2,6.8,0.66, ,0.02, 
Estoril,-34.2449,147.4136,Magmatic hydrothermal,436.4,11,0.22,0.001,0.37, 
Eurowie,-33.84116,147.42523,Magmatic hydrothermal,436.5, , , , , 
Ferndale,-33.4823,149.11456,Magmatic hydrothermal,436.5, , , , , 
Frogmore,-34.27572,148.84221,Magmatic hydrothermal,426.3, , , , , 
Gemini,-33.36019,148.02978,Magmatic hydrothermal,436.5, , , , , 
Gibraltar Rock,-26.14043,152.4043,Magmatic hydrothermal,242.5, , , , , 
Gooleys,-33.51271,149.08149,Magmatic hydrothermal,436.5, , , , , 
Greens Creek,-34.3165,147.46,Magmatic hydrothermal,436.4, , , , , 
Greenvale Project (Cockie Creek deposit),-19.06329,144.74881,Magmatic hydrothermal, ,13,0.42, , , 
GRP314,-32.93435,148.05647,Magmatic hydrothermal,439.2, , , , , 
Halls Creek (Bommie deposit),-18.43861,127.48944,Magmatic hydrothermal, ,95.6,0.27, , , 
Homer,-34.1971,147.337,Magmatic hydrothermal,436.5, , , , , 
Hopetoun,-32.97544,148.01254,Magmatic hydrothermal,439, , , , , 
Kangaroo Hill,-34.1151,147.3622,Magmatic hydrothermal,436.4, , , , , 
Kangiara,-34.63,148.79,Magmatic hydrothermal, ,2.75,0.18, ,0.5,24
Kelly,-21.79167,119.87222,Magmatic hydrothermal,3315, , , , , 
Kingswood,-32.3727,148.0383,Magmatic hydrothermal,436.5, , , , , 
Kitticoola,-34.8737,139.1522,Magmatic hydrothermal,490, , , , , 
Mag H1,-34.3099,147.4415,Magmatic hydrothermal,436.4, , , , , 
Mannersley,-24.04941,150.8145,Magmatic hydrothermal,242.5, , , , , 
Monza,-34.2347,147.40505,Magmatic hydrothermal,436.4, , , , , 
Moonmera,-23.5756,150.3928,Magmatic hydrothermal,251.5, , , , , 
Moorilda,-33.60354,149.36474,Magmatic hydrothermal,436.5,73.2,0.07, ,0.94, 
Mount Cannindah,-24.6712,151.2764,Magmatic hydrothermal,242.5,17.466,0.652, ,0.163,6.745
Mount Darcy,-18.24451,143.2527,Magmatic hydrothermal,310, , , , , 
Mount Leslie,-20.9369,148.16,Magmatic hydrothermal,125,20,0.2, , , 
Mount Turner,-18.25506,143.40547,Magmatic hydrothermal,310, , , , , 
Mount Vista,-20.56697,147.8804,Magmatic hydrothermal,125, , , , , 
Mt. Leslie,-20.34194,140.16889,Magmatic hydrothermal, , , , , , 
Mt. Poole,-29.83944,152.37139,Magmatic hydrothermal, , , , , , 
Mt. Robin,-20.57861,146.97778,Magmatic hydrothermal,285, , , , , 
Netley Hill,-32.80685,140.04315,Magmatic hydrothermal,502, , , , , 
Peak Hill,-32.75,148.21667,Magmatic hydrothermal, ,11.27,0.11, ,1.29, 
Riverhead,-24.04083,150.73973,Magmatic hydrothermal,235, , , , , 
Rosevale,-34.3004,147.4002,Magmatic hydrothermal,436.4, , , , , 
Ruddygore,-17.1292,144.54892,Magmatic hydrothermal,285,10,0.4, , , 
Struck Oil,-23.60545,150.46152,Magmatic hydrothermal,244.45,100,0.2, , , 
Sunday Creek,-37.51922,148.48857,Magmatic hydrothermal,406.25, , , , , 
Tartana project,-16.93306,144.26611,Magmatic hydrothermal, ,0.176,1.5, , , 
Titov,-19.99371,146.69196,Magmatic hydrothermal,395, , , , , 
Town Creek,-20.42472,146.77861,Magmatic hydrothermal,285, , , , , 
Veedas,-32.92127,147.99828,Magmatic hydrothermal,439.2, , , , , 
Waitara,-21.80807,148.81505,Magmatic hydrothermal,122.75, , , , , 
Western Tharsis,-42.0,145.5833,Magmatic hydrothermal, ,12.4,1.3, ,0.3, 
Woolshed,-34.3011,147.4178,Magmatic hydrothermal,436.4, , , , , 
